时间,波形名称,谐波次数,谐波值
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏C相电压UVD1_L3,2,0.01319494553697342
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏C相电压UVD1_L3,3,0.01378945290036066
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏C相电压UVD1_L3,4,0.015148067862617118
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏C相电压UVD1_L3,5,0.010874222793300595
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏C相电压UVD1_L3,6,0.01162059638596753
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏C相电压UVD1_L3,7,0.03204185339062499
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏C相电压UVD1_L3,8,0.015451540870840948
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏C相电压UVD1_L3,9,0.01227431113548652
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏C相电压UVD1_L3,10,0.02865168471348168
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏电压UVD1_ 3Uo,1,0.03971114241366893
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏电压UVD1_ 3Uo,2,0.02686205703541872
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏电压UVD1_ 3Uo,3,0.022398482276199085
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏电压UVD1_ 3Uo,4,0.034676679500928446
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏电压UVD1_ 3Uo,5,0.023227350799459333
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏电压UVD1_ 3Uo,6,0.023804371206217406
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏电压UVD1_ 3Uo,7,0.08704202966332508
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏电压UVD1_ 3Uo,8,0.02902509742553978
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏电压UVD1_ 3Uo,9,0.02307627133844065
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧首端末屏电压UVD1_ 3Uo,10,0.06559727461407105
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏A相电压UVD0_L1,1,0.14913435513505932
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏A相电压UVD0_L1,2,0.011704452708717894
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏A相电压UVD0_L1,3,0.012889554572262993
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏A相电压UVD0_L1,4,0.014710365058581493
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏A相电压UVD0_L1,5,0.010506984069943423
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏A相电压UVD0_L1,6,0.010664655930334508
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏A相电压UVD0_L1,7,0.03213407160780689
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏A相电压UVD0_L1,8,0.012449088857477336
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏A相电压UVD0_L1,9,0.010113163001877873
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏A相电压UVD0_L1,10,0.026746411204288573
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏B相电压UVD0_L2,1,0.11013603914833724
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏B相电压UVD0_L2,2,0.013056177923242688
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏B相电压UVD0_L2,3,0.01278501112632245
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏B相电压UVD0_L2,4,0.016097196027565572
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏B相电压UVD0_L2,5,0.011176227139492328
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏B相电压UVD0_L2,6,0.011178635143737788
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏B相电压UVD0_L2,7,0.032677326447415736
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏B相电压UVD0_L2,8,0.012565669836138132
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏B相电压UVD0_L2,9,0.01115218753255825
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏B相电压UVD0_L2,10,0.027816393445001482
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏C相电压UVD0_L3,1,0.029961510900963856
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏C相电压UVD0_L3,2,0.012846290812759885
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏C相电压UVD0_L3,3,0.010720615690313753
2024-03-25 04:54:09,8222B极Ⅱ低端换流变角接阀侧末端末屏C相电压UVD0_L3,4,0.016209403784544572
